market_ticker,series,family,class,timestamp,track,arm,prior_outcome,streak_direction,streak_length,strike,spot,z_dir,model_prob_yes,market_yes_bid,market_yes_ask,exec_price,edge,fee,slippage,side,size,kelly_units,resolution,gross_pnl,net_pnl,split
KXMLBTOTAL-26AUG221915DETKC-4,KXMLBTOTAL,KXMLBTOTAL|4,BASEBALL_TOTAL,2026-08-22T23:49:39Z,A,A0_mirror,yes,yes,6,3.5,,,0.885006,76,79,24,-15.5006,2,1,no,1,4,yes,-24,-27,holdout
KXMLBTOTAL-26AUG221915PITLAD-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-22T23:59:56Z,A,A0_mirror,yes,yes,3,5.5,,,0.739294,85,93,93,-21.0706,1,1,yes,1,1,yes,7,5,holdout
KXMLBTOTAL-26AUG221915PITLAD-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-22T23:59:56Z,A,A0_mirror,yes,yes,2,6.5,,,0.670567,77,81,81,-16.9433,2,1,yes,1,1,yes,19,16,holdout
KXMLBTOTAL-26AUG221915CHCSEA-5,KXMLBTOTAL,KXMLBTOTAL|5,BASEBALL_TOTAL,2026-08-23T00:04:32Z,A,A0_mirror,yes,yes,6,4.5,,,0.840914,65,69,35,-22.0914,2,1,no,1,4,yes,-35,-38,holdout
KXMLBTOTAL-26AUG221915CHCSEA-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-23T00:04:32Z,A,A0_mirror,yes,yes,4,5.5,,,0.739294,49,51,51,-27.9294,2,1,no,1,4,yes,-51,-54,holdout
KXMLBTOTAL-26AUG221905TBBAL-4,KXMLBTOTAL,KXMLBTOTAL|4,BASEBALL_TOTAL,2026-08-23T00:14:29Z,A,A0_mirror,yes,yes,8,3.5,,,0.885006,69,70,31,-22.5006,2,1,no,1,4,yes,-31,-34,holdout
KXMLBTOTAL-26AUG221905LAATEX-3,KXMLBTOTAL,KXMLBTOTAL|3,BASEBALL_TOTAL,2026-08-23T00:19:40Z,A,A0_mirror,yes,yes,24,2.5,,,0.942514,87,88,13,-9.2514,1,1,no,1,4,yes,-13,-15,holdout
KXMLBTOTAL-26AUG221910NYMCWS-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-23T00:19:42Z,A,A0_mirror,yes,yes,1,9.5,,,0.392086,78,82,82,-45.7914,2,1,yes,1,4,yes,18,15,holdout
KXMLBTOTAL-26AUG221910NYMCWS-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-23T00:19:42Z,A,A0_mirror,yes,yes,1,10.5,,,0.321956,67,74,74,-44.8044,2,1,yes,1,4,yes,26,23,holdout
KXMLBTOTAL-26AUG221910NYMCWS-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-23T00:19:42Z,A,A0_mirror,yes,yes,1,7.5,,,0.551732,94,95,95,-41.8268,1,1,yes,1,4,yes,5,3,holdout
KXMLBTOTAL-26AUG221910NYMCWS-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-23T00:19:42Z,A,A0_mirror,yes,yes,1,8.5,,,0.469713,90,92,92,-47.0287,1,1,yes,1,4,yes,8,6,holdout
KXMLBTOTAL-26AUG221915DETKC-10,KXMLBTOTAL,KXMLBTOTAL|10,BASEBALL_TOTAL,2026-08-23T00:24:34Z,A,A0_mirror,yes,yes,2,9.5,,,0.392086,18,20,82,-24.2086,2,1,no,1,3,no,18,15,holdout
KXMLBTOTAL-26AUG221915DETKC-6,KXMLBTOTAL,KXMLBTOTAL|6,BASEBALL_TOTAL,2026-08-23T00:24:34Z,A,A0_mirror,yes,yes,5,5.5,,,0.739294,65,66,35,-11.9294,2,1,no,1,2,no,65,62,holdout
KXMLBTOTAL-26AUG221915DETKC-7,KXMLBTOTAL,KXMLBTOTAL|7,BASEBALL_TOTAL,2026-08-23T00:24:34Z,A,A0_mirror,yes,yes,3,6.5,,,0.670567,55,56,45,-15.0567,2,1,no,1,3,no,55,52,holdout
KXMLBTOTAL-26AUG221915DETKC-8,KXMLBTOTAL,KXMLBTOTAL|8,BASEBALL_TOTAL,2026-08-23T00:24:34Z,A,A0_mirror,yes,yes,2,7.5,,,0.551732,39,40,61,-19.1732,2,1,no,1,3,no,39,36,holdout
KXMLBTOTAL-26AUG221915DETKC-9,KXMLBTOTAL,KXMLBTOTAL|9,BASEBALL_TOTAL,2026-08-23T00:24:34Z,A,A0_mirror,yes,yes,2,8.5,,,0.469713,30,31,70,-19.9713,2,1,no,1,2,no,30,27,holdout
KXMLBTOTAL-26AUG221915DETKC-11,KXMLBTOTAL,KXMLBTOTAL|11,BASEBALL_TOTAL,2026-08-23T00:24:35Z,A,A0_mirror,yes,yes,2,10.5,,,0.321956,12,15,88,-22.1956,1,1,no,1,2,no,12,10,holdout
KXMLBTOTAL-26AUG221915DETKC-12,KXMLBTOTAL,KXMLBTOTAL|12,BASEBALL_TOTAL,2026-08-23T00:24:35Z,A,A0_mirror,yes,yes,1,11.5,,,0.269824,7,10,93,-21.9824,1,1,no,1,2,no,7,5,holdout
KXMLBTOTAL-26AUG221915DETKC-13,KXMLBTOTAL,KXMLBTOTAL|13,BASEBALL_TOTAL,2026-08-23T00:24:35Z,A,A0_mirror,yes,yes,1,12.5,,,0.253122,5,7,95,-22.3122,1,1,no,1,2,no,5,3,holdout
