# ops request [READ]
# type=db  id=k-fit-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:35:19Z
series                      contests  losses  entry  awin     aloss   
KXENGCSTOTAL                1         0       17.2   101.47           
KXEERSTEDIVTOTAL            1         1       12.0            -176.37 
KXRAINMIAM                  1         0       10.0   9.84             
KXCPI                       1         0       15.0   216.00           
KXWCMOF                     1         0       13.0   36.00            
KXEPLBTTS                   1         0       6.0    17.70            
KXTRUMPMEET                 1         0       11.3   57.60            
KXUSGASCPI                  1         1       25.4            -26.00  
KXDEEPSHARE                 1         0       32.5   43.33            
KXVIDEOLENGTH               1         0       22.3   113.41           
KXR6GAME                    1         0       28.8   26.57            
KXMLBHRDERBYLONGEST         1         0       14.0   75.00            
KXTRUMPUFC                  1         0       6.0    60.90            
KXUECL1HTOTAL               1         0       7.0    6.89             
KXUEFASCSCORE               1         0       7.6    41.36            
KXCLARITYVOTE               1         0       10.3   204.00           
KXDIAZOUT                   1         0       7.0    34.45            
KXPIRROOUT                  1         0       7.4    36.41            
KXSONGRELEASEDATEPC         1         0       74.0   73.66            
KXH100MS                    1         0       93.0   6.89             
KXNBASUMMERSPREAD           1         0       12.7   73.00            
KXNASCARTOP5                1         0       7.1    83.66            
KXFED                       1         0       7.0    48.00            
KXWNBA2HTOTAL               1         1       11.0            -178.34 
KXWNBA4QTOTAL               1         1       7.0             -558.66 
KXDOTA2                     1         1       16.8            -0.26   
KXTRUMPNUMSTATES            1         0       28.0   25.58            
KXNBATEAMANNOUNCE           1         1       17.7            -770.00 
KXPBAGAME                   1         0       42.0   80.00            
KXBILLBOARDRUNNERUPSONG     1         0       14.5   72.80            
KXMEDNOMJUL                 1         0       13.0   36.00            
KXCONMEBOLSUD1H             1         0       7.0    27.56            
KXWTAGTOTAL                 1         0       11.7   34.46            
KXFEDMENTION                1         0       10.0   1311.00          
KXCOACHOUTNCAAFB            1         0       15.0   14.78            
KXMLBHRDERBYR1LEAD          1         0       23.6   111.00           
KXARGNACBTOTAL              1         0       9.5    94.00            
KXUSDJPY                    1         1       6.0             -95.00  
KXTOPUSAGEAI                1         0       93.0   6.89             
KXSVK2LGAME                 1         0       7.3    28.54            
KXPGAR3LEAD                 1         0       16.3   237.00           
KXWNBA3QSPREAD              1         0       12.8   50.22            
KXKLEAGUETOTAL              1         0       12.0   11.82            
KXLIGAEXPSPREAD             1         0       12.0   11.82            
KXGROK                      1         1       11.5            -412.61 
KXGTATRAILER                1         0       41.0   40.58            
KXYTTOPSONGW                1         0       9.0    8.86             
KXURYPDSPREAD               1         0       6.0    50.00            
KXPRESSSECANNOUNCE          1         0       8.3    24.60            
KXBTCMINMON                 1         0       8.1    127.99           
KXHEGSETHANNOUNCEOUT        1         0       7.0    55.12            
KXSERIEASCORE               1         0       12.0   11.82            
KXUSLTOTAL                  1         1       49.0            -53.00  
KXELITESERIENSPREAD         1         0       7.0    84.00            
KXGEMINI                    1         0       10.0   266.76           
KXSPACEXSTARSHIP            1         0       9.2    54.15            
KXMC                        1         0       18.9   67.60            
KXWCSTAGEOFELIM             1         1       16.3            -182.00 
KXMLSTEAMTOTAL              1         0       22.0   21.70            
KXMLBHRDERBYDISTANCE        1         0       19.5   486.00           
KXEERSTEDIVGAME             1         0       50.5   14.76            
KXXRPMINMON                 1         0       6.0    17.70            
KXU3                        1         0       16.8   113.26           
KXDFBPOKALGAME              1         0       11.0   10.83            
KXBKNUGGETS                 1         0       12.8   163.72           
KXWCMATCHUP                 1         1       21.4            -106.00 
KXAVGTKAUS                  1         0       14.6   71.99            
KXZECMAXMON                 1         1       32.0            -205.14 
KXGERSCGAME                 1         0       20.5   36.39            
KXSERIEBGAME                1         0       6.0    41.30            
KXWC2HBTTS                  1         0       19.0   34.00            
KXARGNACBBTTS               1         0       10.0   27.00            
KXASEANSPREAD               1         0       8.3    32.49            
KXFEDDECISION               1         0       6.6    45.00            
KXSERIEA1HTOTAL             1         0       10.0   9.84             
KXARMOMINF                  1         1       13.1            -143.83 
KXATPCHALLENGERDOUBLES      1         0       17.0   16.75            
KXANTHSHARE                 1         0       19.8   78.00            
KXACTBLUETOP                1         0       7.5    14.76            
KXGOLDMON                   1         0       12.4   304.53           
KXEKSTRAKLASATOTAL          1         0       10.3   30.52            
KXGERSCTOTAL                1         0       7.0    82.68            
KXKASHANNOUNCEOUT           1         0       8.0    7.87             
KXLLM1                      1         0       21.5   40.35            
KXUCLWTOTAL                 1         0       6.5    96.42            
KXEARTHQUAKEM               1         1       7.8             -392.71 
KXWTESTMATCH                1         0       9.0    24.00            
KXHNLGAME                   1         0       7.0    34.45            
KXLALIGATEAMTOTAL           1         0       6.3    111.15           
KXAVGTKOKC                  1         0       39.0   38.58            
KXNETFLIXRANKSHOWGLOBAL     1         0       93.0   6.00             
KXEFLCUPBTTS                1         0       17.0   16.00            
KXMLBHRDERBYOU              1         0       24.5   92.00            
