# ops request [READ]
# type=db  id=rl-graduation-seed-1
# code 46661a984dc183c0df68f5291df2026ad00e570a · started 2026-09-05T20:30:21Z
series                      classified  settled_markets  markets  pnl    
KXNASCARTOP5                False       4                4        0.84   
KXNBASUMMERSPREAD           True        4                4        0.73   
KXNCAAF1HTOTAL              False       4                4        0.51   
KXNCAAFTEAMTOTAL            False       4                4        -8.16  
KXPGAR3LEAD                 True        4                7        2.37   
KXPLATNERDROPOUT            True        4                4        -2.85  
KXSERIEASPREAD              False       4                4        0.95   
KXA100WS                    True        4                4        1.70   
KXSWISSLEAGUEGAME           False       4                4        -4.10  
KXU3                        False       4                4        1.25   
KXUFCMOF                    False       4                4        0.12   
KXVIDEOLENGTH               False       4                4        1.13   
KXWCMATCHUP                 True        4                4        -1.06  
KXWNBA2QTOTAL               True        4                4        1.21   
KXMYSLTOTAL                 False       3                3        -1.33  
KXURYPDTOTAL                False       3                3        0.61   
KXENGNLGAME                 False       3                3        0.87   
KXYTDAILYTOPVIDEOG          True        3                3        1.01   
KXEPL1HTOTAL                False       3                3        0.44   
KXEREDIVISIESPREAD          True        3                3        0.17   
KXMLBHRDERBYSEMI            True        3                3        0.13   
KXEWSLGAME                  False       3                3        -6.24  
KXSUPERLIGSPREAD            True        3                3        0.84   
KXUEFASCTOTAL               True        3                3        0.87   
KXUE                        True        3                3        1.36   
KXSVK2LTOTAL                False       3                3        0.36   
KXFIBATOTAL                 False       3                3        0.68   
KXARGNACBTOTAL              False       3                3        0.94   
KXFINYLGAME                 False       3                3        0.86   
KXUCL1HTOTAL                True        3                3        0.97   
KXGEMINI                    True        3                3        3.34   
KXYTTOPVIDEO2D              True        3                3        -2.76  
KXH200MS                    True        3                3        0.73   
KXGROK                      True        3                3        -4.00  
KXTRUMPNUMSTATES            False       3                3        0.26   
KXBRASILEIROCTOTAL          True        3                3        0.77   
KXMLS1HTOTAL                True        3                3        0.84   
KXNASCARTOP3                True        3                3        0.28   
KXNATGASW                   False       3                3        0.98   
KXNPBSPREAD                 True        3                3        1.22   
KXBRASILEIROSPREAD          False       3                3        -1.22  
KXLEAGUESCUPBTTS            True        3                3        1.95   
KXWNBA3QSPREAD              False       3                3        0.50   
KXZECMAXMON                 False       3                3        -2.05  
KXRANKLISTSONGSPOTUSA       True        3                3        1.75   
KXRANKLISTSONGTOP10         False       3                3        0.93   
KXWNBA1HWINNER              True        3                3        0.59   
KXLALIGATEAMTOTAL           False       3                3        1.11   
KXCOD                       True        3                3        2.34   
KXLOLTOTALMAPS              False       3                3        0.87   
KXMLBHRDERBYR1LEAD          True        3                5        1.11   
KXPGAHOLEINONE              True        3                3        1.41   
KXCPI                       True        3                5        2.31   
KXSCOTTISHPREMTOTAL         True        3                3        1.26   
KXDOTA2                     False       3                3        0.00   
KXNFLTD                     True        3                9        0.64   
KXEARTHQUAKEM               True        3                3        -3.93  
KXEFLCUPTOTAL               True        3                3        -0.61  
KXEFLL1GAME                 True        3                3        0.41   
KXMYSLGAME                  False       3                3        -0.53  
KXENGCSGAME                 True        3                3        0.18   
KXANTHSHARE                 False       2                2        0.78   
KXMLBHRDERBYOU              True        2                2        0.92   
KXMLBHRDERBYLONGEST         True        2                2        0.75   
KXOPENSHARE                 False       2                2        0.50   

(400 rows; output capped at 400 — refine the query for more)
