# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXCLUBFTOTAL             rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 14:25:28.396934+00  2026-08-09 14:25:28.396934+00
KXCOD                    filled    (null)                                                                                                                                                                                                    1    2026-08-09 10:38:41.515145+00  2026-08-09 10:38:41.515145+00
KXCOD                    canceled  timeout                                                                                                                                                                                                   1    2026-08-09 06:32:39.884+00     2026-08-09 06:32:39.884+00   
KXCODGAME                filled    (null)                                                                                                                                                                                                    1    2026-08-09 21:16:11.742234+00  2026-08-09 21:16:11.742234+00
KXCONMEBOLLIBGAME        filled    (null)                                                                                                                                                                                                    1    2026-08-12 21:36:53.416445+00  2026-08-12 21:36:53.416445+00
KXCONMEBOLLIBTOTAL       canceled  (null)                                                                                                                                                                                                    1    2026-08-11 23:21:22.525129+00  2026-08-11 23:21:22.525129+00
KXCONMEBOLSUDGAME        filled    (null)                                                                                                                                                                                                    2    2026-08-11 19:02:45.174318+00  2026-08-13 23:48:36.330301+00
KXCONMEBOLSUDTOTAL       canceled  (null)                                                                                                                                                                                                    3    2026-08-12 22:40:56.165207+00  2026-08-12 23:39:26.97747+00 
KXCOPPAITALIAGAME        filled    (null)                                                                                                                                                                                                    1    2026-08-17 17:08:30.388054+00  2026-08-17 17:08:30.388054+00
KXCOPPAITALIATOTAL       filled    (null)                                                                                                                                                                                                    1    2026-09-02 16:24:31.6121+00    2026-09-02 16:24:31.6121+00  
KXCOPPERD                canceled  timeout                                                                                                                                                                                                   7    2026-08-10 03:20:27.583248+00  2026-08-17 04:26:50.347994+00
KXCOPPERD                rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   2    2026-08-10 03:51:10.73769+00   2026-08-10 04:23:02.995247+00
KXCOPPERD                filled    (null)                                                                                                                                                                                                    1    2026-08-11 18:32:23.550222+00  2026-08-11 18:32:23.550222+00
KXCPI                    rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 13:55:02.990389+00  2026-08-09 13:55:02.990389+00
KXCPICOMBO               canceled  timeout                                                                                                                                                                                                   2    2026-08-09 06:02:29.741398+00  2026-08-09 10:07:35.669965+00
KXCPICOMBO               filled    (null)                                                                                                                                                                                                    1    2026-08-09 14:25:45.419927+00  2026-08-09 14:25:45.419927+00
KXCPICOREYOY             canceled  timeout                                                                                                                                                                                                   3    2026-08-10 07:27:01.923717+00  2026-08-11 17:00:42.040172+00
KXCPIYOY                 filled    (null)                                                                                                                                                                                                    2    2026-07-31 23:51:54.07614+00   2026-08-04 15:59:43.059765+00
KXCPIYOY                 canceled  (null)                                                                                                                                                                                                    1    2026-09-02 12:16:13.26015+00   2026-09-02 12:16:13.26015+00 
KXCPLMATCH               canceled  (null)                                                                                                                                                                                                    2    2026-08-29 02:04:17.463285+00  2026-09-03 02:45:29.48385+00 
KXCPLMATCH               filled    (null)                                                                                                                                                                                                    1    2026-08-09 02:15:42.946813+00  2026-08-09 02:15:42.946813+00
KXCS2GAME                filled    (null)                                                                                                                                                                                                    7    2026-08-12 13:52:04.513371+00  2026-08-30 11:07:30.641417+00
KXCS2GAME                canceled  (null)                                                                                                                                                                                                    1    2026-08-17 21:04:18.022622+00  2026-08-17 21:04:18.022622+00
KXCS2GAME                canceled  book_stood_down                                                                                                                                                                                           1    2026-08-14 14:36:08.77637+00   2026-08-14 14:36:08.77637+00 
KXCS2MAP                 filled    (null)                                                                                                                                                                                                    2    2026-08-13 13:54:44.442504+00  2026-08-14 14:02:14.672146+00
KXCZEFLGAME              filled    (null)                                                                                                                                                                                                    1    2026-08-09 13:55:34.314665+00  2026-08-09 13:55:34.314665+00
KXDIAZOUT                filled    (null)                                                                                                                                                                                                    1    2026-08-18 14:15:15.765034+00  2026-08-18 14:15:15.765034+00
KXDIESELD                rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   2    2026-08-10 01:16:14.94004+00   2026-08-10 04:22:26.422073+00
KXDIMAYORGAME            filled    (null)                                                                                                                                                                                                    2    2026-08-09 00:08:30.860091+00  2026-08-09 01:12:54.980118+00
KXDIMAYORGAME            canceled  (null)                                                                                                                                                                                                    1    2026-09-07 00:57:38.974473+00  2026-09-07 00:57:38.974473+00
KXDIMAYORTOTAL           filled    (null)                                                                                                                                                                                                    1    2026-08-09 02:48:38.750085+00  2026-08-09 02:48:38.750085+00
KXDOTA2GAME              filled    (null)                                                                                                                                                                                                    1    2026-09-07 07:59:22.639427+00  2026-09-07 07:59:22.639427+00
